CPU	 1	 0.133325
CPU	 3	 0.13335
CPU	 5	 0.133325
CPU	 7	 0.133325
CPU	 9	 0.15
CPU	 11	 0.116675
CPU	 13	 0.11665
CPU	 15	 0.133325
CPU	 17	 0.13335
CPU	 19	 0.15
CPU	 21	 0.133325
CPU	 23	 0.133325
CPU	 25	 0.15
CPU	 27	 0.133325
CPU	 29	 0.15
CPU	 31	 0.15
CPU	 33	 0.13335
CPU	 35	 0.13335
CPU	 37	 0.15
CPU	 39	 0.133325
CPU	 41	 0.133325
CPU	 43	 0.133325
CPU	 45	 0.15
CPU	 47	 0.15
CPU	 49	 0.15
CPU	 51	 0.15
CPU	 53	 0.15
CPU	 55	 0.133325
CPU	 57	 0.15
CPU	 59	 0.15
CPU	 61	 0.15
CPU	 63	 0.15
CPU	 65	 0.15
CPU	 67	 0.133325
CPU	 69	 0.15
CPU	 71	 0.133325
CPU	 73	 0.13335
CPU	 75	 0.15
CPU	 77	 0.15
CPU	 79	 0.15
CPU	 81	 0.166675
CPU	 83	 0.133325
CPU	 85	 0.166675
CPU	 87	 0.15
CPU	 89	 0.15
CPU	 91	 0.133325
CPU	 93	 0.15
CPU	 95	 0.16665
CPU	 97	 0.166675
CPU	 99	 0.15
IO	 18	 23807.2
IO	 0	 23810.2
IO	 46	 23809
IO	 16	 23814.8
IO	 42	 23813.4
IO	 14	 23816
IO	 8	 23816.6
IO	 4	 23817
IO	 94	 23809.4
IO	 26	 23815.6
IO	 24	 23815.8
IO	 88	 23810.7
IO	 58	 23814
IO	 54	 23814.8
IO	 38	 23816.3
IO	 66	 23814.1
IO	 56	 23815.4
IO	 36	 23817.5
IO	 74	 23814.1
IO	 76	 23814.6
IO	 32	 23818.5
IO	 78	 23814.6
IO	 44	 23817.8
IO	 20	 23819.7
IO	 70	 23815.7
IO	 22	 23819.8
IO	 60	 23817.3
IO	 28	 23820.1
IO	 72	 23816.5
IO	 82	 23815.8
IO	 52	 23818.7
IO	 92	 23815.1
IO	 30	 23820.7
IO	 96	 23814.8
IO	 62	 23818.6
IO	 2	 23823.3
IO	 90	 23816
IO	 40	 23820.8
IO	 10	 23823.1
IO	 48	 23820.3
IO	 98	 23815.5
IO	 64	 23818.9
IO	 34	 23821.5
IO	 86	 23816.8
IO	 6	 23823.5
IO	 80	 23817.5
IO	 50	 23820.2
IO	 12	 23823.2
IO	 68	 23818.7
IO	 84	 23817.1
